Scientificname,Commonname,SIGNAL_art,RL2020kat,Giftsvamp,Nyasvamp-boken
Inocybe haemacta,hästtråding,,DD,,
Cortinarius norrlandicus,norrlandsspindling,,VU,,
Inocybe tenebrosa,svartfotad trådskivling,,DD,,
Cortinarius niveoglobosus,snöbollsspindling,,DD,,
Tricholoma acerbum,räffelmusseron,,EN,,
Cortinarius ectypus,dysterspindling,,VU,,
Ramaria schildii,citronfingersvamp,,VU,,
Cortinarius fragrantior,pruinös spindling,,DD,,
Ramaria neoformosa,ädelfingersvamp,S,NA,,
Inocybe tricolor,balsamtråding,,VU,,
Russula carpini,avenbokskremla,,NT,,
Ramaria bataillei,rostfotad fingersvamp,,VU,,
Cortinarius citrinoolivaceus,blek bananspindling,,EN,,
Lactarius decipiens,pelargonriska,,NT,,
Cortinarius borgsjoeensis,blåbandad spindling,,VU,,
Russula viscida,klibbkremla,,NT,,
Butyriboletus subappendiculatus,granbronssopp,,DD,,
Hemileccinum depilatum,hamrad bleksopp,,EN,,
Cortinarius aureifolius,slätsporig kanelspindling,,DD,,
Russula incarnata,laxkremla,,VU,,
Cortinarius aureocalceolatus,pålrotsspindling,,VU,,
Inocybe brunneotomentosa,trådskivling,,DD,,
Russula emeticicolor,korallkremla,,VU,,
Russula puellula,småkremla,,DD,,
Hydnellum fagiscabrosum,boktaggsvamp,S,,,
Pachyphlodes citrina,kratertryffel,,DD,,
Cortinarius humolens,mullspindling,,EN,,
Cortinarius rapaceotomentosus,filtekspindling,,VU,,
Alpova larskersii,gelÃ©tryffel,,VU,,
Russula rubra,kremla,,DD,,
Ramaria ignicolor,glödfingersvamp,,DD,,
Hydnobolites cerebriformis,hjärntryffel,,VU,,
Melanogaster tuberiformis,luddslemtryffel,,VU,,
Cortinarius ionodactylus,gredelinspindling,,VU,,
Cortinarius rhizophorus,apelsinspindling,,VU,,
Tretomyces lutescens,gult markskinn,,VU,,
Stephensia bombycina,portryffel,,EN,,
Cortinarius albertii,spökspindling,,EN,,
Cortinarius roseipes,spindelskivling,,NT,,
Cortinarius inexspectatus,oväntad spindling,,VU,,
Cortinarius platypus,bredfotsspindling,,VU,,
Cortinarius vesterholtii,vesterholtspindling,,EN,,
Cortinarius hinnuleoarmillatus,spindelskivling,,VU,,
Ramaria brienzensis,kalkfingersvamp,,EN,,
Cortinarius gracilior,frökenspindling,,EN,,
Amanita eliae,isabellflugsvamp,,VU,,
Cortinarius pini,jämtlandsspindling,,VU,,
Fischerula macrospora,hasseltryffel,,EN,,
Hygrophorus carpini,avenbokvaxskivling,,DD,,
Cortinarius nymphicolor,spindelskivling,S,NA,,
Inosperma quietiodor,trådskivling,,DD,,
Cortinarius lepistoides,spindelskivling,,DD,,
Gautieria graveolens s.lat.,stinkande håltryffel,,VU,,
Russula fulvograminea,kremla,,DD,,
Otidea mirabilis,haröra,,DD,,
Cortinarius majoranae,spindelskivling,,EN,,
Cortinarius obsoletus,gulbrun rävspindling,,VU,,
Ramaria flava var. pinicola,roslagsfingersvamp,,VU,,
Hydnellum roseoviolaceum,rosaköttig taggsvamp,S,NE,,
Cortinarius aquilanus,örnspindling,,VU,,
Cortinarius xanthosuavis,lövkryddspindling,,EN,,
Cortinarius kristinae,kristinspindling,,DD,,
Otidea brunneoparva,haröra,,DD,,
Lanmaoa fragrans,lakritssopp,S,NA,,
Tomentella asperula,tomentelloid svamp,,DD,,
Cortinarius lilacinovelatus,lilaflockig spindling,,DD,,
Tricholoma boudieri,lundmusseron,S,,,
Pachyphlodes melanoxantha,vårtig kratertryffel,,DD,,
Polyozellus sciastrus,tomentelloid svamp,,DD,,
Aureoboletus moravicus,lejonsopp,,EN,,
Tricholoma boreosulphurescens,musseron ,,DD,,
Cortinarius viridicoeruleus,spindelskivling,S,NE,,
Cortinarius parasuaveolens,blåslöjad spökspindling,,EN,,
Polyozellus umbrinascens,tomentelloid svamp,,DD,,
Cortinarius blattoi,lappspindling,S,LC,,
Amphinema diadema,brunt kraterskinn,,DD,,
Polyozellus vepallidosporus,tomentelloid svamp,,DD,,
Inocybe bresadolae,trådskivling,,DD,,
Cortinarius cordatae,fyllitspindling,,CR,,
Ramaria flava var. flava,gul fingersvamp,,EN,,
Polyozellus alobatus,tomentelloid svamp,,DD,,
Cortinarius tiliae,lindspindling,S,NA,,
Cortinarius violaceipes,spindelskivling,,CR,,
Tomentella italica,tomentelloid svamp,,DD,,
Sclerogaster compactus s.lat.,hårdtryffel,,DD,,
Polyozellus pinophilus,tomentelloid svamp,,DD,,
Polyozellus rotundisporus,tomentelloid svamp,,DD,,
Cortinarius molochinus,syrenblå spindling,,VU,,
Polyozellus plurilobus,tomentelloid svamp,,DD,,
Cortinarius flavidolilacinus,spindelskivling,S,NA,,
